Question,Options,Answer,Difficulty,Score
"다음 중 성적 확인을 위해 수행하지 않아도 되는 것을 고르시오","강의 평가,장애인식개선관련 교육,폭력예방교육,연구실안전 법정교육","연구실안전 법정교육","중",2
"교양 최대 이수 가능학점은 45학점이다","O,X","O","중",2
"중앙도서관 제 2열람실은 24시간 운영하며, 좌석발권은 17시까지이다.","O,X","X","중",2
"2026-1 천원의 아침밥 운영기간은 1학기 개시일부터 기말고사기간 끝까지이다.","O,X","X","중",2
"공대 건물 207관 건물의 이름은?","라스트홀,봅스트홀,푸르미르홀,대신홀","봅스트홀","중",2
"다음 중 중앙대 공통 교양에 해당하지 않는 것은?","창의와 소통,ACT,Communication in English,역사란 무엇인가,글쓰기","역사란 무엇인가","중",2
"2026년도 중앙대학교 동아리 연합회 이름은?","ca:ble,링크,포춘,한울","한울","중",2
"중앙대 개교 기념일은","10/17,03/01,09/27,10/15","10/17","중",2
"ESF에서 하는 활동 3가지 이상을 말씀해주세요.","O","O","중",2
"약어인 ESF를 풀어쓰면?","Evangelical Student Fellowship,Earning Stock Fund,Environment Sustainability Followers","Evangelical Student Fellowship","중",2
